test_id,lang_name,answer_no,answer,morphemic_parse
1,Russian,40,морща,"{'ROOT': ['морщ'], 'END': ['а']}"
1,Russian,41,двинулся,"{'ROOT': ['дви'], 'SUFF': ['н', 'у', 'л'], 'POSTFIX': ['ся']}"
1,Russian,42,двинулся,"{'ROOT': ['дви'], 'SUFF': ['н', 'у', 'л'], 'POSTFIX': ['ся']}"
2,Russian,0,пустому,"{'ROOT': ['пуст'], 'END': ['ому']}"
2,Russian,1,коридору,"{'ROOT': ['коридор'], 'END': ['у']}"
2,Russian,2,здании,"{'ROOT': ['здани'], 'END': ['и']}"
2,Russian,3,стеклянные,"{'ROOT': ['стекл'], 'SUFF': ['янн'], 'END': ['ые']}"
2,Russian,4,инструментами,"{'ROOT': ['инструмент'], 'END': ['ами']}"
2,Russian,5,кресла,"{'ROOT': ['кресл'], 'END': ['а']}"
2,Russian,6,колпаками,"{'ROOT': ['колпак'], 'END': ['ами']}"
2,Russian,7,провода,"{'PREF': ['про'], 'ROOT': ['вод'], 'END': ['а']}"
2,Russian,8,принялись,"{'ROOT': ['приня'], 'SUFF': ['л'], 'END': ['и'], 'POSTFIX': ['сь']}"
2,Russian,9,столик,"{'ROOT': ['стол'], 'SUFF': ['ик']}"
2,Russian,10,обдумывать,"{'PREF': ['об'], 'ROOT': ['дум'], 'SUFF': ['ыва'], 'END': ['ть']}"
2,Russian,11,соблазнял ,"{'ROOT': ['соблазн'], 'SUFF': ['я', 'л']}"
2,Russian,12,замысловатые,"{'ROOT': ['замысл'], 'SUFF': ['оват'], 'END': ['ые']}"
2,Russian,13,задержан,"{'PREF': ['за'], 'ROOT': ['держ'], 'SUFF': ['а', 'н']}"
2,Russian,14,сегодняшний,"{'ROOT': ['сегодня'], 'SUFF': ['шн'], 'END': ['ий']}"
2,Russian,15,вчерашнего,"{'ROOT': ['вчера'], 'SUFF': ['шн'], 'END': ['его']}"
2,Russian,16,сомнительным,"{'ROOT': ['сомн'], 'SUFF': ['и', 'тельн'], 'END': ['ым']}"
2,Russian,17,сумасшедший,"{'PREF': ['с'], 'ROOT': ['ума', 'шед'], 'LINK': ['с'], 'SUFF': ['ш'], 'END': ['ий']}"
2,Russian,18,повествование,"{'ROOT': ['повеств'], 'SUFF': ['ова', 'ни'], 'END': ['е']}"
2,Russian,19,вчерашний,"{'ROOT': ['вчера'], 'SUFF': ['шн'], 'END': ['ий']}"
2,Russian,20,извращенно,"{'ROOT': ['извращ'], 'SUFF': ['енн'], 'END': ['о']}"
2,Russian,21,замкнуться,"{'PREF': ['за'], 'ROOT': ['мк'], 'SUFF': ['н', 'у'], 'END': ['ть'], 'POSTFIX': ['ся']}"
2,Russian,22,осуществить,"{'ROOT': ['осуществ'], 'SUFF': ['и'], 'END': ['ть']}"
2,Russian,23,вопросов,"{'ROOT': ['вопрос'], 'END': ['ов']}"
2,Russian,24,выспросили,"{'PREF': ['вы'], 'ROOT': ['спрос'], 'SUFF': ['и', 'л'], 'END': ['и']}"
2,Russian,25,жизни,"{'ROOT': ['жи'], 'SUFF': ['зн'], 'END': ['и']}"
2,Russian,26,страницу,"{'ROOT': ['стран'], 'SUFF': ['иц'], 'END': ['у']}"
2,Russian,27,родственниках,"{'ROOT': ['род'], 'SUFF': ['ств', 'енн', 'ик'], 'END': ['ах']}"
2,Russian,28,умер,"{'PREF': ['у'], 'ROOT': ['мер']}"
2,Russian,29,пил,"{'ROOT': ['пи'], 'SUFF': ['л']}"
2,Russian,30,вчерашнем,"{'ROOT': ['вчера'], 'SUFF': ['шн'], 'END': ['ем']}"
2,Russian,31,удивлялись,"{'PREF': ['у'], 'ROOT': ['дивл'], 'SUFF': ['я', 'л'], 'END': ['и'], 'POSTFIX': ['сь']}"
2,Russian,32,уступила ,"{'PREF': ['у'], 'ROOT': ['ступ'], 'SUFF': ['и', 'л'], 'END': ['а']}"
2,Russian,33,пульс,{'ROOT': ['пульс']}
2,Russian,34,глаза,"{'ROOT': ['глаз'], 'END': ['а']}"
2,Russian,35,помощь,"{'PREF': ['по'], 'ROOT': ['мощь']}"
2,Russian,36,спину,"{'ROOT': ['спин'], 'END': ['у']}"
2,Russian,37,коже,"{'ROOT': ['кож'], 'END': ['е']}"
2,Russian,38,подпрыгивали,"{'PREF': ['под'], 'ROOT': ['прыг'], 'SUFF': ['ива', 'л'], 'END': ['и']}"
2,Russian,39,резиновые,"{'ROOT': ['резин'], 'SUFF': ['ов'], 'END': ['ые']}"
3,Russian,0,молитва,"{'ROOT': ['мол'], 'SUFF': ['и', 'тв'], 'END': ['а']}"
3,Russian,1,бога,"{'ROOT': ['бог'], 'END': ['а']}"
3,Russian,2,милосердии,"{'ROOT': ['мил', 'серд'], 'LINK': ['о'], 'SUFF': ['и'], 'END': ['и']}"
3,Russian,3,угрозы,"{'PREF': ['у'], 'ROOT': ['гроз'], 'END': ['ы']}"
3,Russian,4,расположенной,"{'PREF': ['рас', 'по'], 'ROOT': ['лож'], 'SUFF': ['енн'], 'END': ['ой']}"
3,Russian,5,время,"{'ROOT': ['врем'], 'END': ['я']}"
3,Russian,6,города,"{'ROOT': ['город'], 'END': ['а']}"
3,Russian,7,движение,"{'ROOT': ['движ'], 'SUFF': ['ени'], 'END': ['е']}"
3,Russian,8,колоннами,"{'ROOT': ['колонн'], 'END': ['ами']}"
3,Russian,9,защиту,"{'ROOT': ['защит'], 'END': ['у']}"
3,Russian,10,направлялось,"{'ROOT': ['направл'], 'SUFF': ['я', 'л'], 'END': ['о'], 'POSTFIX': ['сь']}"
3,Russian,11,тропинками,"{'ROOT': ['троп'], 'SUFF': ['инк'], 'END': ['ами']}"
3,Russian,12,кучки,"{'ROOT': ['куч'], 'SUFF': ['к'], 'END': ['и']}"
3,Russian,13,города,"{'ROOT': ['город'], 'END': ['а']}"
3,Russian,14,город,{'ROOT': ['город']}
3,Russian,15,оглушили,"{'PREF': ['о'], 'ROOT': ['глуш'], 'SUFF': ['и', 'л'], 'END': ['и']}"
3,Russian,16,город,{'ROOT': ['город']}
3,Russian,17,боги,"{'ROOT': ['бог'], 'END': ['и']}"
3,Russian,18,мощной,"{'ROOT': ['мощ'], 'SUFF': ['н'], 'END': ['ой']}"
3,Russian,19,постоялым,"{'PREF': ['по'], 'ROOT': ['сто'], 'SUFF': ['я', 'л'], 'END': ['ым']}"
3,Russian,20,господина,"{'ROOT': ['господин'], 'END': ['а']}"
3,Russian,21,приказанию,"{'ROOT': ['приказ'], 'SUFF': ['а', 'ни'], 'END': ['ю']}"
3,Russian,22,конных,"{'ROOT': ['кон'], 'SUFF': ['н'], 'END': ['ых']}"
3,Russian,23,направлявшихся,"{'ROOT': ['направл'], 'SUFF': ['я', 'вш'], 'END': ['их'], 'POSTFIX': ['ся']}"
3,Russian,24,города,"{'ROOT': ['город'], 'END': ['а']}"
3,Russian,25,спрашивать,"{'PREF': ['с'], 'ROOT': ['праш'], 'SUFF': ['ива'], 'END': ['ть']}"
3,Russian,26,города,"{'ROOT': ['город'], 'END': ['а']}"
3,Russian,27,господин,{'ROOT': ['господин']}
3,Russian,28,большого,"{'ROOT': ['больш'], 'END': ['ого']}"
3,Russian,29,города,"{'ROOT': ['город'], 'END': ['а']}"
3,Russian,30,пламя,"{'ROOT': ['плам'], 'END': ['я']}"
3,Russian,31,новые,"{'ROOT': ['нов'], 'END': ['ые']}"
3,Russian,32,дыма,"{'ROOT': ['дым'], 'END': ['а']}"
3,Russian,33,подвели,"{'PREF': ['под'], 'ROOT': ['ве'], 'SUFF': ['л'], 'END': ['и']}"
3,Russian,34,вскочил,"{'PREF': ['в'], 'ROOT': ['скоч'], 'SUFF': ['и', 'л']}"
4,Russian,0,появлялся,"{'PREF': ['по'], 'ROOT': ['явл'], 'SUFF': ['я', 'л'], 'POSTFIX': ['ся']}"
4,Russian,1,думать,"{'ROOT': ['дум'], 'SUFF': ['а'], 'END': ['ть']}"
4,Russian,2,не торопясь,"{'PREF': ['не'], 'ROOT': ['тороп'], 'SUFF': ['я'], 'POSTFIX': ['сь']}"
4,Russian,3,кровь,{'ROOT': ['кровь']}
4,Russian,4,разума,"{'PREF': ['раз'], 'ROOT': ['ум'], 'END': ['а']}"
4,Russian,5,городским,"{'ROOT': ['город'], 'SUFF': ['ск'], 'END': ['им']}"
4,Russian,6,раба,"{'ROOT': ['раб'], 'END': ['а']}"
4,Russian,7,бывалые,"{'ROOT': ['бы'], 'SUFF': ['ва', 'л'], 'END': ['ые']}"
4,Russian,8,дельными,"{'ROOT': ['дель'], 'SUFF': ['н'], 'END': ['ыми']}"
4,Russian,9,любовью,"{'ROOT': ['люб'], 'SUFF': ['овь'], 'END': ['ю']}"
4,Russian,10,жаждущего,"{'ROOT': ['жажд'], 'SUFF': ['ущ'], 'END': ['его']}"
4,Russian,11,юных,"{'ROOT': ['юн'], 'END': ['ых']}"
4,Russian,12,понимающего,"{'ROOT': ['поним'], 'SUFF': ['а', 'ющ'], 'END': ['его']}"
4,Russian,13,отказаться,"{'ROOT': ['отказ'], 'SUFF': ['а'], 'END': ['ть'], 'POSTFIX': ['ся']}"
4,Russian,14,военная,"{'ROOT': ['воен'], 'SUFF': ['н'], 'END': ['ая']}"
4,Russian,15,своеволие,"{'ROOT': ['сво', 'вол'], 'LINK': ['е'], 'SUFF': ['и'], 'END': ['е']}"
4,Russian,16,приказ,{'ROOT': ['приказ']}
4,Russian,17,пребывание,"{'PREF': ['пре'], 'ROOT': ['бы'], 'SUFF': ['ва', 'ни'], 'END': ['е']}"
4,Russian,18,покорности,"{'ROOT': ['покор'], 'SUFF': ['н', 'ост'], 'END': ['и']}"
4,Russian,19,пределов,"{'ROOT': ['предел'], 'END': ['ов']}"
4,Russian,20,страдало,"{'ROOT': ['страд'], 'SUFF': ['а', 'л'], 'END': ['о']}"
4,Russian,21,бегстве,"{'ROOT': ['бег'], 'SUFF': ['ств'], 'END': ['е']}"
4,Russian,22,загадка,"{'PREF': ['за'], 'ROOT': ['гад'], 'SUFF': ['к'], 'END': ['а']}"
4,Russian,23,ломал,"{'ROOT': ['лом'], 'SUFF': ['а', 'л']}"
4,Russian,24,правду,"{'ROOT': ['правд'], 'END': ['у']}"
4,Russian,25,безразличен,"{'PREF': ['без', 'раз'], 'ROOT': ['лич'], 'SUFF': ['ен']}"
4,Russian,26,любви,"{'ROOT': ['любв'], 'END': ['и']}"
4,Russian,27,ласкам,"{'ROOT': ['ласк'], 'END': ['ам']}"
4,Russian,28,роскошном,"{'ROOT': ['роскош'], 'SUFF': ['н'], 'END': ['ом']}"
4,Russian,29,вопрос,{'ROOT': ['вопрос']}
4,Russian,30,ощущать,"{'ROOT': ['ощущ'], 'SUFF': ['а'], 'END': ['ть']}"
4,Russian,31,пропасть,"{'PREF': ['про'], 'ROOT': ['пасть']}"
4,Russian,32,потеряет,"{'PREF': ['по'], 'ROOT': ['тер'], 'SUFF': ['я'], 'END': ['ет']}"
4,Russian,33,хладнокровия,"{'ROOT': ['хладн', 'кров'], 'SUFF': ['и'], 'LINK': ['о'], 'END': ['я']}"
4,Russian,34,любит,"{'ROOT': ['люб'], 'END': ['ит']}"
4,Russian,35,понимал,"{'ROOT': ['поним'], 'SUFF': ['а', 'л']}"
4,Russian,36,найти,"{'ROOT': ['най'], 'END': ['ти']}"
4,Russian,37,воображении,"{'ROOT': ['воображ'], 'SUFF': ['ени'], 'END': ['и']}"
4,Russian,38,вспоминал,"{'PREF': ['вс'], 'ROOT': ['помин'], 'SUFF': ['а', 'л']}"
4,Russian,39,груди,"{'ROOT': ['груд'], 'END': ['и']}"
4,Russian,40,пламя,"{'ROOT': ['плам'], 'END': ['я']}"
4,Russian,41,любил,"{'ROOT': ['люб'], 'SUFF': ['и', 'л']}"
4,Russian,42,любим,"{'ROOT': ['люб'], 'END': ['им']}"
4,Russian,43,печаль,{'ROOT': ['печаль']}
5,Russian,0,глазах,"{'ROOT': ['глаз'], 'END': ['ах']}"
5,Russian,1,испариной,"{'PREF': ['ис'], 'ROOT': ['пар'], 'SUFF': ['ин'], 'END': ['ой']}"
5,Russian,2,вырвать,"{'PREF': ['вы'], 'ROOT': ['рв'], 'SUFF': ['а'], 'END': ['ть']}"
5,Russian,3,жизни,"{'ROOT': ['жи'], 'SUFF': ['зн'], 'END': ['и']}"
5,Russian,4,полюбил,"{'PREF': ['по'], 'ROOT': ['люб'], 'SUFF': ['и', 'л']}"
5,Russian,5,памяти,"{'ROOT': ['памят'], 'END': ['и']}"
5,Russian,6,жизнь,"{'ROOT': ['жи'], 'SUFF': ['знь']}"
5,Russian,7,слово,"{'ROOT': ['слов'], 'END': ['о']}"
5,Russian,8,фонтана,"{'ROOT': ['фонтан'], 'END': ['а']}"
5,Russian,9,желанной,"{'ROOT': ['жела'], 'SUFF': ['нн'], 'END': ['ой']}"
5,Russian,10,небожителей,"{'ROOT': ['неб', 'жи'], 'LINK': ['о'], 'SUFF': ['тел'], 'END': ['ей']}"
5,Russian,11,подумал,"{'PREF': ['по'], 'ROOT': ['дум'], 'SUFF': ['а', 'л']}"
5,Russian,12,кровью,"{'ROOT': ['кровь'], 'END': ['ю']}"
5,Russian,13,жизнью,"{'ROOT': ['жи'], 'SUFF': ['знь'], 'END': ['ю']}"
5,Russian,14,мучительной,"{'ROOT': ['муч'], 'SUFF': ['и', 'тельн'], 'END': ['ой']}"
5,Russian,15,стены,"{'ROOT': ['стен'], 'END': ['ы']}"
5,Russian,16,жить,"{'ROOT': ['жи'], 'END': ['ть']}"
5,Russian,17,умереть,"{'PREF': ['у'], 'ROOT': ['мер'], 'SUFF': ['е'], 'END': ['ть']}"
5,Russian,18,утешение,"{'PREF': ['у'], 'ROOT': ['теш'], 'SUFF': ['ени'], 'END': ['е']}"
5,Russian,19,горшков,"{'ROOT': ['горшк'], 'END': ['ов']}"
5,Russian,20,домашним,"{'ROOT': ['дом'], 'SUFF': ['а', 'шн'], 'END': ['им']}"
5,Russian,21,жить,"{'ROOT': ['жи'], 'END': ['ть']}"
5,Russian,22,ночи,"{'ROOT': ['ноч'], 'END': ['и']}"
5,Russian,23,отказавшись,"{'ROOT': ['отказ'], 'SUFF': ['а', 'вши'], 'POSTFIX': ['сь']}"
5,Russian,24,приказал,"{'ROOT': ['приказ'], 'SUFF': ['а', 'л']}"
5,Russian,25,дороге,"{'ROOT': ['дорог'], 'END': ['е']}"
5,Russian,26,оружия,"{'ROOT': ['оруж'], 'SUFF': ['и'], 'END': ['я']}"
5,Russian,27,оружия,"{'ROOT': ['оруж'], 'SUFF': ['и'], 'END': ['я']}"
5,Russian,28,мыслью,"{'ROOT': ['мысль'], 'END': ['ю']}"
5,Russian,29,встретиться,"{'ROOT': ['встрет'], 'SUFF': ['и'], 'END': ['ть'], 'POSTFIX': ['ся']}"
5,Russian,30,правду,"{'ROOT': ['правд'], 'END': ['у']}"
5,Russian,31,надежда,"{'ROOT': ['надежд'], 'END': ['а']}"
5,Russian,32,мысли,"{'ROOT': ['мысл'], 'END': ['и']}"
5,Russian,33,возвратит,"{'PREF': ['воз'], 'ROOT': ['врат'], 'END': ['ит']}"
5,Russian,34,предположение,"{'ROOT': ['предполож'], 'SUFF': ['ени'], 'END': ['е']}"
5,Russian,35,вчера,{'ROOT': ['вчера']}
5,Russian,36,повидать,"{'PREF': ['по'], 'ROOT': ['вид'], 'SUFF': ['а'], 'END': ['ть']}"
6,Russian,0,лицу,"{'ROOT': ['лиц'], 'END': ['у']}"
6,Russian,1,вечер,{'ROOT': ['вечер']}
6,Russian,2,почернела,"{'PREF': ['по'], 'ROOT': ['черн'], 'SUFF': ['е', 'л'], 'END': ['а']}"
6,Russian,3,весла,"{'ROOT': ['весл'], 'END': ['а']}"
6,Russian,4,гражданки,"{'ROOT': ['гражд'], 'SUFF': ['ан', 'к'], 'END': ['и']}"
6,Russian,5,скамейках,"{'ROOT': ['скамейк'], 'END': ['ах']}"
6,Russian,6,публика,"{'ROOT': ['публик'], 'END': ['а']}"
6,Russian,7,квадрата,"{'ROOT': ['квадр'], 'SUFF': ['ат'], 'END': ['а']}"
6,Russian,8,луна,"{'ROOT': ['лун'], 'END': ['а']}"
6,Russian,9,золотая,"{'ROOT': ['золот'], 'END': ['ая']}"
6,Russian,10,заметил,"{'PREF': ['за'], 'ROOT': ['мет'], 'SUFF': ['и', 'л']}"
6,Russian,11,рассказ,"{'PREF': ['рас'], 'ROOT': ['сказ']}"
6,Russian,12,вечер,{'ROOT': ['вечер']}
6,Russian,13,рассказывал,"{'PREF': ['рас'], 'ROOT': ['сказ'], 'SUFF': ['ыва', 'л']}"
6,Russian,14,рассказывал,"{'PREF': ['рас'], 'ROOT': ['сказ'], 'SUFF': ['ыва', 'л']}"
6,Russian,15,лицо,"{'ROOT': ['лиц'], 'END': ['о']}"
6,Russian,16,рассказ,"{'PREF': ['рас'], 'ROOT': ['сказ']}"
6,Russian,17,рассказами,"{'PREF': ['рас'], 'ROOT': ['сказ'], 'END': ['ами']}"
6,Russian,18,отозвался,"{'PREF': ['ото'], 'ROOT': ['зв'], 'SUFF': ['а', 'л'], 'POSTFIX': ['ся']}"
6,Russian,19,написано,"{'PREF': ['на'], 'ROOT': ['пис'], 'SUFF': ['а', 'н'], 'END': ['о']}"
6,Russian,20,источник,"{'PREF': ['ис'], 'ROOT': ['точ'], 'SUFF': ['ник']}"
6,Russian,21,осекся,"{'PREF': ['о'], 'ROOT': ['сек'], 'POSTFIX': ['ся']}"
6,Russian,22,идя,"{'ROOT': ['ид'], 'SUFF': ['я']}"
6,Russian,23,подтвердить,"{'ROOT': ['подтверд'], 'SUFF': ['и'], 'END': ['ть']}"
6,Russian,24,рассказывали,"{'PREF': ['рас'], 'ROOT': ['сказ'], 'SUFF': ['ыва', 'л'], 'END': ['и']}"
6,Russian,25,подтвердить,"{'ROOT': ['подтверд'], 'SUFF': ['и'], 'END': ['ть']}"
6,Russian,26,ломаным,"{'ROOT': ['лома'], 'SUFF': ['н'], 'END': ['ым']}"
6,Russian,27,поманил,"{'PREF': ['по'], 'ROOT': ['ман'], 'SUFF': ['и', 'л']}"
6,Russian,28,наклонились,"{'PREF': ['на'], 'ROOT': ['клон'], 'SUFF': ['и', 'л'], 'END': ['и'], 'POSTFIX': ['сь']}"
6,Russian,29,появлялся,"{'PREF': ['по'], 'ROOT': ['явл'], 'SUFF': ['я', 'л'], 'POSTFIX': ['ся']}"
6,Russian,30,заговорил,"{'PREF': ['за'], 'ROOT': ['говор'], 'SUFF': ['и', 'л']}"
6,Russian,31,присутствовал,"{'PREF': ['при'], 'ROOT': ['сутств'], 'SUFF': ['ов', 'а', 'л']}"
6,Russian,32,балконе,"{'ROOT': ['балкон'], 'END': ['е']}"
6,Russian,33,тайно,"{'ROOT': ['тай'], 'SUFF': ['н'], 'END': ['о']}"
6,Russian,34,секрет,{'ROOT': ['секрет']}
